epoch,batch,mean_grad_norm,std_grad
0,56,1.2514648e-10,0.00015642845
0,57,2.1518645e-10,4.696075e-05
0,58,2.0809239e-10,4.797848e-05
0,59,1.6734703e-10,3.6842095e-05
0,60,1.8189894e-11,3.7538313e-05
0,61,1.9499566e-10,0.00027716954
0,62,2.0008883e-10,0.00012386922
0,63,2.2046151e-10,5.2329047e-05
0,64,1.3533281e-10,0.00013158462
0,65,2.4883776e-10,7.5887e-05
0,66,2.5174812e-10,0.00010756647
0,67,2.1354936e-10,7.5215816e-05
0,68,1.9363142e-10,3.8976097e-05
0,69,1.6498233e-10,0.00013449206
0,70,1.3933459e-10,3.4973382e-05
0,71,2.612069e-10,9.067987e-05
0,72,2.6047928e-10,9.377473e-05
0,73,1.9208528e-10,0.000108978995
0,74,1.6298145e-10,0.0002717191
0,75,1.3178578e-10,1.8286288e-05
0,76,3.252353e-10,8.841628e-05
0,77,3.3141986e-10,7.784577e-05
0,78,2.8740033e-10,4.3048545e-05
0,79,2.7939678e-10,0.00047407547
0,80,1.9790605e-10,0.00058902864
0,81,1.9936124e-10,6.395653e-05
0,82,7.203198e-11,9.799378e-05
0,83,1.8153515e-10,3.3125263e-05
0,84,3.092282e-10,2.2898428e-05
0,85,3.9035514e-10,4.283245e-05
0,86,1.0531949e-10,4.7277426e-05
0,87,2.415618e-10,0.00065253244
0,88,1.12049744e-10,0.00015700326
0,89,1.4551915e-10,9.168608e-05
0,90,1.695298e-10,3.6098972e-05
0,91,8.985808e-11,0.0005693496
0,92,2.4992913e-10,3.510248e-05
0,93,2.41198e-10,7.725388e-05
0,94,2.0372681e-10,6.5176806e-05
0,95,1.9863364e-10,4.7632133e-05
0,96,1.9244908e-10,4.5740606e-05
0,97,2.1937012e-10,7.892714e-05
0,98,1.1641532e-10,8.837057e-05
0,99,1.8808351e-10,0.00013945505
0,100,1.5861587e-10,5.3596024e-05
0,101,1.6170816e-10,3.5553465e-05
0,102,1.5625119e-10,4.05328e-05
0,103,2.6557246e-11,2.9371602e-05
0,104,1.1541488e-10,2.546951e-05
0,105,2.060915e-10,4.4859262e-05
0,106,1.2223608e-10,0.00011244601
0,107,2.4342625e-10,2.875353e-05
0,108,1.8326318e-10,5.559353e-05
0,109,1.5133991e-10,0.00057618547
0,110,1.9208528e-10,6.102378e-05
0,111,2.3283064e-10,0.0012432038
0,112,2.726665e-10,4.1533483e-05
0,113,2.6193447e-10,6.609395e-05
0,114,2.3937902e-10,0.0001543371
0,115,4.3655747e-12,0.00013680346
0,116,2.4629115e-10,0.00035979925
0,117,1.8699212e-10,9.0233545e-05
0,118,2.449269e-10,2.841025e-05
0,119,2.1391315e-10,0.0002612754
0,120,1.8562787e-10,3.7120924e-05
0,121,1.6989361e-10,0.000111570844
0,122,2.1973393e-10,9.014602e-05
0,123,2.2118911e-10,0.0003108359
0,124,3.1650416e-10,9.010948e-05
0,125,2.7157512e-10,8.49353e-05
